index,title,link
0,A Quiet Retreat,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM3MDc4MDgwNzY3ODE6MTc2MjI3NTE5OTpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDQ4NTYzMTg2NDEwMjo6MDo6&url=%2FQuiet-Retreat-Kiersten-Modglin-ebook%2Fdp%2FB0BHQ62DHD%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw%26dib_tag%3Dse%26keywords%3Dprime%2Breads%2Bfree%2Bfor%2Bprime%2Bmembers%26qid%3D1762275198%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1
1,Suicide Forest: A Gripping Psychological Thriller of Suspense and Terror (World's Scariest Places Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM3MDc4MDgwNzY3ODE6MTc2MjI3NTE5OTpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDgwNTc3NTI5ODAwMjo6MDo6&url=%2FSuicide-Forest-horror-mystery-Scariest-ebook%2Fdp%2FB00POSPGYS%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw%26dib_tag%3Dse%26keywords%3Dprime%2Breads%2Bfree%2Bfor%2Bprime%2Bmembers%26qid%3D1762275198%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1
2,The Night of the Crash: The brand-new gripping thriller with an ending that will take your breath away,https://www.amazon.com/Night-Crash-brand-new-gripping-thriller-ebook/dp/B0D69YT67L/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw&dib_tag=se&keywords=prime+reads+free+for+prime+members&qid=1762275198&sr=8-3
3,"The Girl Behind the Gates: The gripping, heartbreaking historical bestseller based on a true story",https://www.amazon.com/Girl-Behind-Gates-heart-breaking-historical-ebook/dp/B0847KDV8W/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw&dib_tag=se&keywords=prime+reads+free+for+prime+members&qid=1762275198&sr=8-4
4,"The Second Chance Book Club: A heart-warming and uplifting novel about family, love, friendship and the joy of books, from the author of Found in a Bookshop",https://www.amazon.com/Book-Kindness-feel-good-friendship-BOOKSHOP-ebook/dp/B0D5LT1MQ9/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw&dib_tag=se&keywords=prime+reads+free+for+prime+members&qid=1762275198&sr=8-5
5,The Beachside Inn (Marigold Island Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM3MDc4MDgwNzY3ODE6MTc2MjI3NTE5OTpzcF9waG9uZV9zZWFyY2hfbXRmOjIwMDA2NDAwMjU1NzI3MTo6MDo6&url=%2FBeachside-Inn-Heartwarming-Fiction-Marigold-ebook%2Fdp%2FB08ZJYHW2Q%2Fref%3Dmp_s_a_1_6_sspa%3Fdib%3DeyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw%26dib_tag%3Dse%26keywords%3Dprime%2Breads%2Bfree%2Bfor%2Bprime%2Bmembers%26qid%3D1762275198%26sr%3D8-6-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1
6,The Devil's Daughter (Allie Bishop FBI Mystery Thriller Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM3MDc4MDgwNzY3ODE6MTc2MjI3NTE5OTpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDU0ODE3MjAxNTkwMjo6MDo6&url=%2FDevils-Daughter-Bishop-Mystery-Thriller-ebook%2Fdp%2FB0CR29HGTL%2Fref%3Dmp_s_a_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw%26dib_tag%3Dse%26keywords%3Dprime%2Breads%2Bfree%2Bfor%2Bprime%2Bmembers%26qid%3D1762275198%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1
7,The Mysterious Bakery on Rue de Paris: An Enchanting and Escapist Novel from the Internationally Bestselling author of The Lost Bookshop for 2025,https://www.amazon.com/Mysterious-Bakery-Rue-Paris-internationally-ebook/dp/B0D5PYQGLC/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw&dib_tag=se&keywords=prime+reads+free+for+prime+members&qid=1762275198&sr=8-8
8,"The Lighthouse Sisters: A gripping and heartwrenching World War Two historical novel, inspired by true events",https://www.amazon.com/Lighthouse-Sisters-freedom-Heartwrenching-historical-ebook/dp/B09HQK41CW/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw&dib_tag=se&keywords=prime+reads+free+for+prime+members&qid=1762275198&sr=8-9
9,It Began With a Lie (Secrets of Redemption Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM3MDc4MDgwNzY3ODE6MTc2MjI3NTE5OTpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDg1MzI3MTg2NTUwMjo6MDo6&url=%2FBegan-Lie-Secrets-Redemption-Book-ebook%2Fdp%2FB07DT8ZTN3%2Fref%3Dmp_s_a_1_10_sspa%3Fdib%3DeyJ2IjoiMSJ9.5XrypObmafbnK12EhpGJQEmpC6wQ8LJyh-ngIoT1mB9Syyk-WPDH_Aunnq1mq3WBrX1Av63jlhvpQ3PcINRkUzqTpT4KkX5-HuFiy_C1qcBE5mtxgjRraLR86HJwH36lHWJTXSZH3_3_Xuh6S-t2tUirdRXDo5iNa2m4uJFz2fPiMehmZ0qqwtVpCoOz0Duq4y2HfQ87l9EcMFucQHMZtQ.qnqwzgN9w78NSvf2VaFSTUDnnHVeq5NhVFX8HeCmHsw%26dib_tag%3Dse%26keywords%3Dprime%2Breads%2Bfree%2Bfor%2Bprime%2Bmembers%26qid%3D1762275198%26sr%3D8-10-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1
